,Sparta,Den Bosch,Cambuur,For Sittard,Graafschap,PSV Eindhoven,Ajax,Utrecht,Waalwijk,MVV Maastricht,Heerenveen,Roda,Twente,Willem II,Feyenoord,Vitesse,AZ Alkmaar,Nijmegen,NAC Breda,Groningen,Roosendaal,Excelsior,Zwolle,Volendam,Den Haag,Heracles,VVV Venlo,Go Ahead Eagles,Dordrecht,FC Emmen,Almere City
93,1.0,2.0,,1.0,0.0,0.0,1.0,4.0,2.0,,1.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,2.0,3.0,,,,,,,,,,,
94,0.0,1.0,,0.0,0.0,1.0,3.0,0.0,1.0,,4.0,4.0,,,,2.0,1.0,1.0,,0.0,,,,,,,,,,,
95,1.0,0.0,,2.0,4.0,0.0,4.0,2.0,1.0,,2.0,0.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,,,,,,,,,,,
96,1.0,1.0,,,0.0,1.0,5.0,2.0,2.0,,1.0,1.0,0.0,0.0,,,1.0,0.0,2.0,,,,,,,,,,,,
97,4.0,0.0,,3.0,4.0,1.0,2.0,3.0,0.0,,2.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,
98,0.0,,,,0.0,4.0,,,,,,3.0,,1.0,3.0,1.0,1.0,,1.0,0.0,,,,,,,,,,,
99,,1.0,,,,,,1.0,1.0,,1.0,,0.0,3.0,,1.0,,2.0,0.0,1.0,,,,,,,,,,,
100,,,,0.0,,,1.0,,,,5.0,0.0,,,,,3.0,0.0,,,,,,,,,,,,,
101,2.0,0.0,,,0.0,2.0,4.0,0.0,0.0,,1.0,,0.0,1.0,4.0,0.0,,,3.0,2.0,,,,,,,,,,,
102,2.0,3.0,,1.0,1.0,1.0,1.0,1.0,3.0,,0.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,,,,,,,,,,,
103,0.0,1.0,,2.0,0.0,3.0,1.0,6.0,1.0,,3.0,1.0,3.0,1.0,3.0,2.0,0.0,1.0,3.0,4.0,,,,,,,,,,,
104,0.0,2.0,,1.0,3.0,3.0,1.0,3.0,4.0,,0.0,0.0,0.0,1.0,3.0,2.0,3.0,0.0,5.0,0.0,,,,,,,,,,,
105,3.0,3.0,,0.0,1.0,3.0,3.0,3.0,2.0,,,1.0,2.0,2.0,3.0,,1.0,1.0,3.0,0.0,,,,,,,,,,,
106,0.0,,,1.0,1.0,3.0,,3.0,3.0,,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,,,,,,,,,,,
107,,,,0.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
108,0.0,3.0,,1.0,1.0,1.0,,,1.0,,2.0,2.0,0.0,2.0,5.0,2.0,1.0,0.0,0.0,0.0,,,,,,,,,,,
109,1.0,4.0,,2.0,1.0,0.0,1.0,2.0,1.0,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,2.0,,,,,,,,,,,
110,,0.0,,3.0,,,5.0,3.0,,,2.0,,3.0,,2.0,1.0,,,,,,,,,,,,,,,
111,,,,,,8.0,1.0,3.0,1.0,,1.0,0.0,3.0,3.0,,1.0,,1.0,2.0,0.0,,,,,,,,,,,
112,1.0,0.0,,0.0,5.0,3.0,1.0,2.0,0.0,,4.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,,,,,,,,,,,
113,1.0,1.0,,0.0,0.0,1.0,,,0.0,,,0.0,0.0,3.0,5.0,0.0,0.0,1.0,,1.0,,,,,,,,,,,
114,,,,0.0,,1.0,3.0,0.0,2.0,,0.0,,,1.0,1.0,,,,0.0,3.0,,,,,,,,,,,
115,2.0,0.0,,,,,,0.0,,,2.0,1.0,4.0,,,,0.0,,2.0,,,,,,,,,,,,
116,1.0,,,1.0,3.0,,3.0,1.0,1.0,,,,,,1.0,1.0,,4.0,,0.0,,,,,,,,,,,
117,1.0,1.0,,,2.0,4.0,0.0,,,,3.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,,,,,,,,,,,,
118,0.0,1.0,,,,,,,,,,2.0,,0.0,,,4.0,,,4.0,,,,,,,,,,,
119,,1.0,,,,4.0,1.0,0.0,3.0,,,,2.0,,1.0,1.0,2.0,,0.0,,,,,,,,,,,,
120,,1.0,,1.0,0.0,,1.0,2.0,,,,,,4.0,,,1.0,,3.0,,,,,,,,,,,,
