,Sparta,Den Bosch,Cambuur,For Sittard,Graafschap,PSV Eindhoven,Ajax,Utrecht,Waalwijk,MVV Maastricht,Heerenveen,Roda,Twente,Willem II,Feyenoord,Vitesse,AZ Alkmaar,Nijmegen,NAC Breda,Groningen,Roosendaal,Excelsior,Zwolle,Volendam,Den Haag,Heracles,VVV Venlo,Go Ahead Eagles,Dordrecht,FC Emmen,Almere City
439,,,,,1.0,3.0,3.0,3.0,1.0,,3.0,2.0,1.0,,3.0,0.0,4.0,0.0,1.0,0.0,,2.0,,,0.0,2.0,3.0,,,,
440,,,,,0.0,2.0,2.0,2.0,1.0,,3.0,0.0,5.0,,4.0,5.0,2.0,1.0,2.0,2.0,,0.0,,,2.0,2.0,0.0,,,,
441,,,,,2.0,7.0,1.0,0.0,2.0,,1.0,1.0,1.0,,1.0,2.0,2.0,0.0,1.0,3.0,,0.0,,,2.0,1.0,0.0,,,,
442,,,,,0.0,2.0,0.0,3.0,0.0,,1.0,4.0,2.0,,0.0,1.0,3.0,0.0,3.0,1.0,,2.0,,,3.0,2.0,1.0,,,,
443,,,,,1.0,1.0,2.0,0.0,0.0,,1.0,4.0,4.0,,4.0,1.0,2.0,0.0,2.0,1.0,,0.0,,,1.0,2.0,0.0,,,,
444,,,,,3.0,1.0,1.0,1.0,1.0,,4.0,0.0,1.0,,1.0,1.0,1.0,0.0,1.0,1.0,,0.0,,,1.0,2.0,4.0,,,,
445,,,,,0.0,2.0,4.0,1.0,0.0,,4.0,0.0,2.0,,0.0,1.0,1.0,3.0,3.0,6.0,,1.0,,,0.0,0.0,1.0,,,,
446,,,,,0.0,4.0,4.0,6.0,1.0,,2.0,1.0,4.0,,0.0,0.0,3.0,1.0,1.0,1.0,,0.0,,,0.0,1.0,0.0,,,,
447,,,,,1.0,3.0,2.0,2.0,1.0,,1.0,2.0,1.0,,4.0,0.0,,1.0,2.0,2.0,,,,,2.0,1.0,1.0,,,,
448,,,,,2.0,6.0,3.0,0.0,1.0,,2.0,3.0,0.0,,2.0,0.0,2.0,0.0,2.0,1.0,,1.0,,,1.0,1.0,1.0,,,,
449,,,,,1.0,0.0,4.0,2.0,0.0,,5.0,2.0,6.0,,2.0,4.0,1.0,3.0,0.0,3.0,,1.0,,,3.0,7.0,0.0,,,,
450,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,2.0,0.0,,,,,
451,,,,,0.0,1.0,1.0,2.0,0.0,,5.0,0.0,2.0,,2.0,0.0,4.0,0.0,0.0,0.0,,0.0,,,,,2.0,,,,
452,,,,,1.0,5.0,4.0,0.0,3.0,,1.0,7.0,2.0,,3.0,1.0,1.0,2.0,2.0,1.0,,0.0,,,0.0,0.0,0.0,,,,
453,,,,,0.0,1.0,1.0,1.0,0.0,,2.0,3.0,5.0,,1.0,0.0,1.0,1.0,0.0,2.0,,3.0,,,3.0,1.0,2.0,,,,
454,,,,,1.0,3.0,2.0,0.0,4.0,,2.0,2.0,4.0,,4.0,1.0,0.0,2.0,1.0,1.0,,0.0,,,0.0,3.0,0.0,,,,
455,,,,,,1.0,0.0,2.0,3.0,,4.0,3.0,,,2.0,1.0,6.0,0.0,0.0,0.0,,3.0,,,0.0,1.0,1.0,,,,
456,,,,,1.0,4.0,2.0,1.0,0.0,,1.0,1.0,2.0,,3.0,1.0,2.0,0.0,0.0,0.0,,0.0,,,1.0,3.0,2.0,,,,
457,,,,,1.0,0.0,4.0,3.0,1.0,,1.0,1.0,4.0,,1.0,1.0,0.0,1.0,0.0,3.0,,1.0,,,1.0,2.0,4.0,,,,
458,,,,,2.0,3.0,4.0,0.0,1.0,,3.0,0.0,1.0,,2.0,0.0,3.0,4.0,4.0,0.0,,1.0,,,0.0,1.0,3.0,,,,
459,,,,,0.0,2.0,4.0,0.0,1.0,,0.0,1.0,6.0,,1.0,2.0,3.0,0.0,1.0,0.0,,0.0,,,0.0,1.0,2.0,,,,
460,,,,,0.0,1.0,3.0,1.0,0.0,,4.0,3.0,1.0,,1.0,3.0,2.0,3.0,3.0,1.0,,2.0,,,2.0,0.0,1.0,,,,
461,,,,,0.0,5.0,2.0,3.0,1.0,,1.0,1.0,0.0,,2.0,2.0,0.0,2.0,0.0,1.0,,2.0,,,0.0,0.0,0.0,,,,
462,,,,,1.0,,,,,,,,2.0,,,,,,,1.0,,0.0,,,,,,,,,
463,,,,,0.0,0.0,2.0,1.0,0.0,,4.0,3.0,1.0,,3.0,1.0,1.0,1.0,1.0,,,,,,1.0,3.0,1.0,,,,
464,,,,,0.0,2.0,6.0,3.0,1.0,,3.0,0.0,2.0,,3.0,2.0,2.0,2.0,1.0,1.0,,2.0,,,0.0,0.0,0.0,,,,
465,,,,,3.0,1.0,5.0,0.0,2.0,,0.0,0.0,2.0,,0.0,3.0,2.0,2.0,1.0,0.0,,0.0,,,3.0,2.0,1.0,,,,
466,,,,,1.0,3.0,3.0,4.0,1.0,,4.0,1.0,2.0,,3.0,1.0,2.0,2.0,2.0,0.0,,0.0,,,0.0,1.0,2.0,,,,
467,,,,,2.0,2.0,2.0,2.0,0.0,,1.0,3.0,1.0,,2.0,1.0,2.0,1.0,0.0,0.0,,0.0,,,1.0,3.0,1.0,,,,
468,,,,,1.0,3.0,2.0,1.0,1.0,,4.0,1.0,1.0,,1.0,3.0,0.0,1.0,3.0,1.0,,2.0,,,1.0,2.0,2.0,,,,
469,,,,,2.0,5.0,2.0,2.0,5.0,,4.0,2.0,3.0,,4.0,2.0,1.0,1.0,1.0,1.0,,2.0,,,0.0,1.0,0.0,,,,
470,,,,,5.0,3.0,3.0,3.0,2.0,,2.0,1.0,2.0,,3.0,1.0,1.0,2.0,3.0,0.0,,1.0,,,3.0,1.0,4.0,,,,
471,,,,,,2.0,2.0,0.0,3.0,,0.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,,,1.0,,2.0,1.0,1.0,,,,
472,,,,,,5.0,6.0,3.0,2.0,,1.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,,,0.0,,2.0,1.0,1.0,,,,
473,,,,,,3.0,5.0,1.0,1.0,,0.0,0.0,3.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,,,1.0,,4.0,1.0,2.0,,,,
474,,,,,,5.0,2.0,1.0,1.0,,2.0,3.0,1.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0,,,0.0,,0.0,1.0,0.0,,,,
475,,,,,,0.0,2.0,1.0,0.0,,1.0,0.0,6.0,2.0,2.0,3.0,4.0,2.0,1.0,0.0,,,0.0,,3.0,2.0,2.0,,,,
476,,,,,,3.0,1.0,1.0,1.0,,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,,,1.0,,1.0,1.0,1.0,,,,
477,,,,,,6.0,1.0,1.0,3.0,,2.0,2.0,0.0,0.0,5.0,2.0,3.0,1.0,0.0,3.0,,,1.0,,3.0,3.0,0.0,,,,
478,,,,,,4.0,1.0,1.0,0.0,,3.0,3.0,3.0,1.0,2.0,3.0,0.0,1.0,0.0,2.0,,,0.0,,1.0,3.0,0.0,,,,
479,,,,,,3.0,3.0,2.0,1.0,,3.0,1.0,1.0,2.0,3.0,3.0,0.0,2.0,0.0,0.0,,,2.0,,1.0,3.0,2.0,,,,
