,Sparta,Den Bosch,Cambuur,For Sittard,Graafschap,PSV Eindhoven,Ajax,Utrecht,Waalwijk,MVV Maastricht,Heerenveen,Roda,Twente,Willem II,Feyenoord,Vitesse,AZ Alkmaar,Nijmegen,NAC Breda,Groningen,Roosendaal,Excelsior,Zwolle,Volendam,Den Haag,Heracles,VVV Venlo,Go Ahead Eagles,Dordrecht,FC Emmen,Almere City
142,,,,,,0.0,6.0,1.0,2.0,,3.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,,0.0,1.0,2.0,,,,,,
143,,,,,,4.0,3.0,2.0,0.0,,1.0,2.0,5.0,0.0,2.0,3.0,2.0,0.0,1.0,1.0,0.0,,2.0,2.0,0.0,,,,,,
144,,,,,,2.0,5.0,0.0,2.0,,0.0,1.0,5.0,0.0,1.0,2.0,3.0,0.0,3.0,3.0,0.0,,1.0,1.0,2.0,,,,,,
145,,,,,,2.0,2.0,2.0,1.0,,1.0,1.0,2.0,1.0,2.0,1.0,4.0,2.0,1.0,2.0,2.0,,0.0,2.0,1.0,,,,,,
146,,,,,,3.0,3.0,2.0,1.0,,1.0,5.0,0.0,4.0,3.0,2.0,2.0,0.0,1.0,3.0,1.0,,1.0,2.0,1.0,,,,,,
147,,,,,,1.0,4.0,1.0,0.0,,1.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,1.0,,1.0,1.0,1.0,,,,,,
148,,,,,,3.0,3.0,1.0,1.0,,1.0,5.0,4.0,6.0,3.0,0.0,1.0,2.0,2.0,1.0,1.0,,0.0,0.0,0.0,,,,,,
149,,,,,,4.0,2.0,3.0,1.0,,,1.0,2.0,3.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,,0.0,,1.0,,,,,,
150,,,,,,7.0,,2.0,1.0,,3.0,,0.0,0.0,4.0,5.0,0.0,1.0,2.0,1.0,1.0,,2.0,0.0,1.0,,,,,,
151,,,,,,3.0,1.0,0.0,1.0,,1.0,2.0,4.0,1.0,2.0,0.0,6.0,2.0,2.0,1.0,1.0,,1.0,0.0,0.0,,,,,,
152,,,,,,0.0,0.0,3.0,0.0,,2.0,1.0,2.0,2.0,0.0,0.0,,1.0,3.0,1.0,2.0,,0.0,0.0,,,,,,,
153,,,,,,2.0,1.0,2.0,1.0,,1.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,,0.0,2.0,1.0,,,,,,
154,,,,,,3.0,4.0,1.0,1.0,,,3.0,2.0,1.0,3.0,0.0,1.0,2.0,1.0,0.0,1.0,,1.0,1.0,0.0,,,,,,
155,,,,,,1.0,2.0,,3.0,,3.0,,2.0,1.0,0.0,0.0,3.0,0.0,4.0,2.0,1.0,,0.0,0.0,0.0,,,,,,
156,,,,,,1.0,2.0,0.0,2.0,,1.0,0.0,0.0,1.0,2.0,1.0,3.0,4.0,0.0,1.0,2.0,,0.0,0.0,2.0,,,,,,
157,,,,,,2.0,1.0,1.0,,,3.0,1.0,0.0,,,1.0,2.0,1.0,2.0,2.0,1.0,,2.0,0.0,,,,,,,
158,,,,,,1.0,0.0,1.0,2.0,,2.0,2.0,4.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.0,2.0,,,,,,
159,,,,,,4.0,1.0,0.0,0.0,,2.0,1.0,1.0,2.0,2.0,0.0,3.0,1.0,0.0,0.0,2.0,,1.0,0.0,2.0,,,,,,
160,,,,,,0.0,4.0,2.0,1.0,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,3.0,0.0,1.0,,1.0,1.0,0.0,,,,,,
161,,,,,,1.0,5.0,2.0,0.0,,0.0,6.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,,3.0,0.0,0.0,,,,,,
162,,,,,,1.0,1.0,2.0,3.0,,1.0,0.0,0.0,3.0,3.0,3.0,1.0,2.0,5.0,1.0,0.0,,1.0,1.0,1.0,,,,,,
163,,,,,,4.0,2.0,5.0,0.0,,1.0,0.0,1.0,0.0,3.0,1.0,2.0,4.0,0.0,1.0,1.0,,1.0,2.0,3.0,,,,,,
164,,,,,,5.0,1.0,0.0,3.0,,4.0,4.0,2.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,,2.0,0.0,1.0,,,,,,
165,,,,,,3.0,1.0,0.0,1.0,,0.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,1.0,,1.0,4.0,1.0,,,,,,
166,,,,,,3.0,0.0,1.0,0.0,,0.0,1.0,2.0,0.0,2.0,0.0,7.0,0.0,1.0,2.0,0.0,,2.0,0.0,0.0,,,,,,
167,,,,,,5.0,5.0,0.0,1.0,,0.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,,0.0,0.0,1.0,,,,,,
168,,,,,,3.0,2.0,2.0,3.0,,1.0,2.0,3.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,,0.0,1.0,2.0,,,,,,
169,,,,,,4.0,5.0,0.0,3.0,,0.0,2.0,2.0,2.0,7.0,3.0,2.0,1.0,5.0,2.0,1.0,,1.0,2.0,4.0,,,,,,
170,,1.0,,,1.0,5.0,3.0,2.0,0.0,,1.0,2.0,2.0,0.0,6.0,3.0,1.0,2.0,3.0,0.0,2.0,,,,0.0,,,,,,
171,,1.0,,,1.0,5.0,6.0,5.0,1.0,,3.0,4.0,0.0,0.0,4.0,1.0,1.0,2.0,2.0,0.0,1.0,,,,1.0,,,,,,
172,,1.0,,,1.0,2.0,1.0,1.0,1.0,,1.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,,,,3.0,,,,,,
