,FTR,Season,HomeTeamID,AwayTeamID,Outcome,PowerH,PowerA,ProbA,ProbD,ProbH,Prediction
55,2.0,1.0,15.0,7.0,2.0,-0.5353578070869749,0.07468163457374409,0.10360860071974301,0.18081692177594758,0.7155744775073094,2.0
56,1.0,1.0,10.0,6.0,1.0,-0.5907224892248356,-0.4656036906705982,0.2187759706070034,0.2474247672782436,0.533799262117753,2.0
57,2.0,1.0,16.0,18.0,2.0,-0.13468949679368275,-0.03990141577550394,0.22783278685480982,0.2504383749009659,0.5217288382472243,2.0
58,1.0,1.0,10.0,8.0,1.0,-0.596470552190449,0.2124736509836227,0.07212316687404999,0.14892762798340256,0.7789492051455474,2.0
59,1.0,1.0,5.0,17.0,1.0,-1.1961179806043076,-0.014841287816845907,0.03343910158926557,0.09349966980678018,0.8730612286069542,2.0
60,2.0,1.0,11.0,19.0,2.0,-0.2208089479493172,0.014468342917265092,0.18767616210820606,0.2350272448428188,0.5772965930519751,2.0
61,1.0,1.0,12.0,3.0,1.0,-0.4710272110032946,0.3117276864167844,0.07579043139091615,0.15311393983175872,0.7710956287803251,2.0
62,2.0,1.0,13.0,7.0,2.0,-0.015636018710842234,0.10426988244244946,0.22031764617488472,0.2479557175404731,0.5317266362876422,2.0
63,0.0,1.0,20.0,4.0,0.0,0.07067889171731227,0.4397425932684266,0.15379815851368397,0.2173671035529541,0.6288347379363619,2.0
64,0.0,1.0,0.0,14.0,0.0,0.4203558688034631,-0.5611687074894963,0.6294169835105643,0.21714986616081702,0.15343315033161867,0.0
65,2.0,1.0,15.0,6.0,2.0,-0.5508437431697595,-0.4530916278381346,0.2269385229680966,0.2501520116376631,0.5229094653972403,2.0
66,2.0,1.0,6.0,11.0,2.0,-0.4253938258998093,-0.24395727089727245,0.2025206462352808,0.2413584130713237,0.5561209406963955,2.0
67,1.0,1.0,4.0,13.0,1.0,0.41525262196511775,-0.04149491129600934,0.4229049464703646,0.26751552573982873,0.3095795277928066,0.0
68,2.0,1.0,14.0,10.0,2.0,-0.561598876569462,-0.6134696208330789,0.2744716818017734,0.2622451423332943,0.4632831758679322,2.0
69,2.0,1.0,12.0,0.0,2.0,-0.487269623402956,0.4187893542971308,0.059702729366598616,0.13360707510783856,0.8066901955285628,2.0
