,FTR,Season,HomeTeamID,AwayTeamID,Outcome,Ha,Aa,Hb,Ab,ProbA,ProbD,ProbH,Prediction
4538,0.0,15.0,12.0,5.0,0.0,0.3279781471631818,0.6262670527042783,0.2049272305235606,0.3852568058600704,1.0,1.0,1.0,1.0
4539,1.0,15.0,15.0,19.0,1.0,0.37889886614972135,0.07223239699891806,0.1759623568848056,0.022670855407855656,1.0,1.0,1.0,1.0
4540,2.0,15.0,22.0,13.0,2.0,0.20320280743627425,-0.0033125126309080733,0.0472365792174126,-0.11571876995788422,1.0,1.0,1.0,1.0
4541,0.0,15.0,16.0,14.0,0.0,0.3081366717971403,0.39715210751062546,0.011520921019398004,0.3805537995862128,1.0,1.0,1.0,1.0
4542,2.0,15.0,2.0,27.0,2.0,-0.15443197643998766,-0.12171894112149362,-0.07160348640853019,-0.15098451769763252,1.0,1.0,1.0,1.0
4543,0.0,15.0,21.0,24.0,0.0,-0.011492032563596133,0.04083294674825448,-0.12476074095438791,-0.049678985415537294,1.0,1.0,1.0,1.0
4544,1.0,15.0,7.0,6.0,1.0,0.28493059953936306,0.5147579183456122,-0.19052889492926206,0.5121233117023044,1.0,1.0,1.0,1.0
4545,2.0,15.0,5.0,22.0,2.0,0.6829749214847989,0.18720448055204517,0.4110374167179092,0.06420861549880123,1.0,1.0,1.0,1.0
4546,0.0,15.0,21.0,15.0,0.0,-0.005273805192425793,0.36151399667277295,-0.15461804372089735,0.1749040418638564,1.0,1.0,1.0,1.0
4547,2.0,15.0,10.0,16.0,2.0,0.3230117471625211,0.3015972652850186,0.1430214515946428,-0.0328537968348355,1.0,1.0,1.0,1.0
4548,0.0,15.0,25.0,6.0,0.0,0.12420841739403442,0.4974954734242092,-0.21834363762858602,0.5135537819354837,1.0,1.0,1.0,1.0
4549,1.0,15.0,18.0,28.0,1.0,-0.16734269000795193,-0.1998868047379377,-0.07844597742169052,-0.2664733443176429,1.0,1.0,1.0,1.0
4550,2.0,15.0,24.0,7.0,2.0,0.06795240972871827,0.2818527254561385,-0.05641161876197388,-0.1716034362577265,1.0,1.0,1.0,1.0
4551,0.0,15.0,27.0,12.0,0.0,-0.13684154944710403,0.3054614164865602,-0.1430844215585265,0.14334685904742472,1.0,1.0,1.0,1.0
4552,2.0,15.0,19.0,2.0,2.0,0.07326101627246194,-0.1621326265013535,0.04157015884236208,-0.05487024022948259,1.0,1.0,1.0,1.0
4553,1.0,15.0,13.0,14.0,1.0,-0.018606596253900876,0.43634873034008914,-0.09879013083528565,0.3878046658688213,1.0,1.0,1.0,1.0
4554,1.0,15.0,2.0,21.0,1.0,-0.14679334606479796,-0.009333216548664584,-0.0769156095354035,-0.17687645164071816,1.0,1.0,1.0,1.0
4555,2.0,15.0,16.0,24.0,2.0,0.312338826922156,0.0709220543193059,-0.0835012600815967,-0.031036706495399736,1.0,1.0,1.0,1.0
4556,2.0,15.0,5.0,10.0,2.0,0.6880438953335533,0.3682889738621952,0.4100830553831837,0.13190820075020165,1.0,1.0,1.0,1.0
4557,2.0,15.0,15.0,28.0,2.0,0.38170710122416557,-0.18324916270498495,0.17970372893728434,-0.2713623893449205,1.0,1.0,1.0,1.0
4558,0.0,15.0,13.0,19.0,0.0,-0.003046127552674048,0.09258027767362761,-0.10249533601875668,0.023421660872726926,1.0,1.0,1.0,1.0
4559,1.0,15.0,6.0,18.0,1.0,0.4964560896532779,-0.16288146416475655,0.5295678958363501,-0.09614346125970483,1.0,1.0,1.0,1.0
4560,0.0,15.0,14.0,27.0,0.0,0.43887847209837266,-0.13891935170257375,0.3706252046566866,-0.16714913949084126,1.0,1.0,1.0,1.0
4561,2.0,15.0,25.0,22.0,2.0,0.10828393904839298,0.1890154927663364,-0.2169340834193648,0.058641424747117185,1.0,1.0,1.0,1.0
4562,2.0,15.0,7.0,12.0,2.0,0.2585070054394079,0.3268115550552974,-0.1749801665091191,0.14712522879182738,1.0,1.0,1.0,1.0
4563,2.0,15.0,24.0,15.0,2.0,0.0671504500265318,0.38576004136932085,-0.04787737362265028,0.19248433614633406,1.0,1.0,1.0,1.0
4564,0.0,15.0,21.0,5.0,0.0,-0.010898718308443965,0.7117470847987549,-0.16753382148587467,0.4121870268779819,1.0,1.0,1.0,1.0
4565,0.0,15.0,27.0,7.0,0.0,-0.1321034980094916,0.24840660051324642,-0.11983034330669859,-0.14516312907400378,1.0,1.0,1.0,1.0
4566,1.0,15.0,10.0,13.0,1.0,0.36757413200766176,-0.010734945940060272,0.1065676052792406,-0.1511259895102338,1.0,1.0,1.0,1.0
4567,0.0,15.0,18.0,25.0,0.0,-0.17159498079560803,0.11622102389480354,-0.04963977172003348,-0.18936342599329353,1.0,1.0,1.0,1.0
4568,1.0,15.0,28.0,2.0,1.0,-0.19407720044645563,-0.15575096136680056,-0.2754619497283779,-0.07551207624056078,1.0,1.0,1.0,1.0
4569,1.0,15.0,19.0,14.0,1.0,0.13593059402628385,0.3960777367949213,0.032021326653722613,0.36339355306612764,1.0,1.0,1.0,1.0
4570,0.0,15.0,12.0,16.0,0.0,0.2992852598611886,0.3276551270063816,0.1588118057676831,-0.0796712055800916,1.0,1.0,1.0,1.0
4571,1.0,15.0,22.0,6.0,1.0,0.16421532844325995,0.45446790964261213,0.049385283574789926,0.5372147927230433,1.0,1.0,1.0,1.0
4572,2.0,15.0,6.0,2.0,2.0,0.4456959382973762,-0.17496696821315702,0.5360037702691288,-0.05316379487315438,1.0,1.0,1.0,1.0
4573,2.0,15.0,16.0,18.0,2.0,0.34090796396786327,-0.18061827311125406,-0.04249043877654515,-0.0809086903216712,1.0,1.0,1.0,1.0
4574,1.0,15.0,27.0,10.0,1.0,-0.15513409369576167,0.3444953649907298,-0.12948814084732704,0.10575652620025468,1.0,1.0,1.0,1.0
4575,0.0,15.0,19.0,22.0,0.0,0.13300997147047205,0.16366532705275244,0.04031950771179841,0.05877289409351302,1.0,1.0,1.0,1.0
4576,2.0,15.0,5.0,25.0,2.0,0.7196446652972901,0.14424629366457592,0.3965430904630402,-0.17949081240239328,1.0,1.0,1.0,1.0
4577,2.0,15.0,12.0,28.0,2.0,0.26493397464941987,-0.21407459206623947,0.1451934099271516,-0.2544531151646615,1.0,1.0,1.0,1.0
4578,1.0,15.0,7.0,21.0,1.0,0.25688155786775635,0.0046416811484714295,-0.11922583620343316,-0.17569713902910056,1.0,1.0,1.0,1.0
4579,2.0,15.0,13.0,24.0,2.0,-0.009138292140687702,0.06286266084617909,-0.1259494984766791,-0.020001139697526437,1.0,1.0,1.0,1.0
4580,0.0,15.0,14.0,15.0,0.0,0.3876667393117605,0.36018965397748015,0.36622929419715655,0.19729238446271294,1.0,1.0,1.0,1.0
4581,0.0,15.0,2.0,13.0,0.0,-0.18382275603604617,-0.016091919248185472,-0.06543199637973521,-0.10446022193213117,1.0,1.0,1.0,1.0
4582,0.0,15.0,24.0,5.0,0.0,0.043122936176116136,0.6955366514458045,-0.01208411682230237,0.41212228821503444,1.0,1.0,1.0,1.0
4583,2.0,15.0,28.0,6.0,2.0,-0.22486832009365723,0.45620910130258785,-0.2647455616362744,0.543468318387099,1.0,1.0,1.0,1.0
4584,0.0,15.0,21.0,16.0,0.0,0.017585237063658332,0.3522621562358086,-0.17054478993659783,-0.06070323119063492,1.0,1.0,1.0,1.0
4585,0.0,15.0,10.0,12.0,0.0,0.33408300723878714,0.2742355116070233,0.10872670331736406,0.15884512641033338,1.0,1.0,1.0,1.0
4586,2.0,15.0,25.0,27.0,2.0,0.13129151830743332,-0.1567024433320757,-0.15214489568320186,-0.11778531764448369,1.0,1.0,1.0,1.0
4587,0.0,15.0,18.0,19.0,0.0,-0.1649968967551062,0.10785268937453994,-0.09329948893443794,0.042572644630516736,1.0,1.0,1.0,1.0
4588,1.0,15.0,15.0,7.0,1.0,0.40713613584906627,0.2521175922196971,0.212182773775912,-0.13363215482555316,1.0,1.0,1.0,1.0
4589,2.0,15.0,22.0,14.0,2.0,0.1611334269270992,0.3740273991715714,0.0861552719869571,0.3138478201884236,1.0,1.0,1.0,1.0
4590,2.0,16.0,14.0,7.0,2.0,0.3520215351369158,0.2809684829789633,0.281941372052908,-0.14102636547617722,1.0,1.0,1.0,1.0
4591,2.0,16.0,11.0,25.0,2.0,0.11917550451854897,0.11760976047593155,-0.22225930765352164,-0.1338348338007729,1.0,1.0,1.0,1.0
4592,0.0,16.0,16.0,6.0,0.0,0.38867380340924806,0.4378720158179413,-0.05008421841542879,0.5190929305050634,1.0,1.0,1.0,1.0
4593,1.0,16.0,13.0,15.0,1.0,-0.0015414983779918085,0.413443539453669,-0.09801068389493997,0.1797775603150687,1.0,1.0,1.0,1.0
4594,1.0,16.0,24.0,5.0,1.0,0.057341252595644,0.7095672001030987,-0.027266780057992802,0.3976401864321066,1.0,1.0,1.0,1.0
4595,2.0,16.0,10.0,4.0,2.0,0.32153408666852035,-0.26120085827661554,0.0779361012316234,-0.2076476892185123,1.0,1.0,1.0,1.0
4596,1.0,16.0,19.0,12.0,1.0,0.16010364628190976,0.30141845208342327,0.0005407149606362488,0.17352829698768013,1.0,1.0,1.0,1.0
4597,2.0,16.0,17.0,21.0,2.0,0.03215159550691774,0.007750034248533575,-0.2889830629871409,-0.21051921337702825,1.0,1.0,1.0,1.0
4598,1.0,16.0,22.0,2.0,1.0,0.18912645467652353,-0.19162181414614235,0.10990926461149474,-0.08178962376682564,1.0,1.0,1.0,1.0
4599,2.0,16.0,15.0,11.0,2.0,0.40187814580284636,0.13744549701197298,0.1837935400491172,-0.21339454636630423,1.0,1.0,1.0,1.0
4600,2.0,16.0,6.0,13.0,2.0,0.4599550378904261,-0.004801692998352475,0.5402118715288162,-0.0859076585838513,1.0,1.0,1.0,1.0
4601,1.0,16.0,21.0,16.0,1.0,-0.01408578107160533,0.36830941668676476,-0.1953493406817941,-0.07499058194338565,1.0,1.0,1.0,1.0
4602,0.0,16.0,4.0,22.0,0.0,-0.2578230082496804,0.1889254362119314,-0.21665219537842675,0.08909917538999876,1.0,1.0,1.0,1.0
4603,0.0,16.0,12.0,24.0,0.0,0.2946666609065297,0.0719217714186578,0.18220992941024677,-0.024140345107085286,1.0,1.0,1.0,1.0
4604,0.0,16.0,2.0,14.0,0.0,-0.17397499494725013,0.3608378206044186,-0.08242881467057508,0.2660733502006563,1.0,1.0,1.0,1.0
4605,2.0,16.0,25.0,17.0,2.0,0.10994412027104838,0.017465599218947747,-0.15359987961649557,-0.264012227112157,1.0,1.0,1.0,1.0
4606,2.0,16.0,5.0,19.0,2.0,0.7069531096838636,0.15280066384941685,0.382913318238614,0.0072720016902066776,1.0,1.0,1.0,1.0
4607,1.0,16.0,7.0,10.0,1.0,0.2948407608845197,0.3297428863525432,-0.1511470697049181,0.07496012115786524,1.0,1.0,1.0,1.0
4608,2.0,16.0,19.0,21.0,2.0,0.13954218196364662,-0.007173151539723547,0.02275629615722492,-0.19802921861477096,1.0,1.0,1.0,1.0
4609,0.0,16.0,2.0,25.0,0.0,-0.18971517943062347,0.12481156849980665,-0.09072555606857102,-0.13184873003359363,1.0,1.0,1.0,1.0
4610,1.0,16.0,10.0,5.0,1.0,0.31934078101467356,0.6931203787685266,0.09000113403061516,0.3988424482991993,1.0,1.0,1.0,1.0
4611,2.0,16.0,11.0,4.0,2.0,0.1220469342631934,-0.27422629913230134,-0.2193820392431804,-0.243372612533433,1.0,1.0,1.0,1.0
4612,1.0,16.0,16.0,13.0,1.0,0.37111674246026993,-0.01407835528807562,-0.08280134252965543,-0.09606776288402975,1.0,1.0,1.0,1.0
4613,1.0,16.0,24.0,7.0,1.0,0.12056483672839283,0.28144558441435835,-0.005206640039411733,-0.13971361940472904,1.0,1.0,1.0,1.0
4614,2.0,16.0,14.0,15.0,2.0,0.36765923325548605,0.4075243437110518,0.2827681455823441,0.2012229247369936,1.0,1.0,1.0,1.0
4615,0.0,16.0,17.0,6.0,0.0,-0.0032551224459126844,0.46860601113115335,-0.2800966871014268,0.5492598272821798,1.0,1.0,1.0,1.0
4616,2.0,16.0,22.0,12.0,2.0,0.21277987481486954,0.2769893763709737,0.1069346905796846,0.12905706197741382,1.0,1.0,1.0,1.0
4617,0.0,16.0,13.0,17.0,0.0,-0.03129873445945405,-0.017951493953760733,-0.05558534018267303,-0.27729264659040936,1.0,1.0,1.0,1.0
4618,2.0,16.0,21.0,4.0,2.0,-0.022892469584360194,-0.28964364321951774,-0.19763316720298701,-0.22418395197026936,1.0,1.0,1.0,1.0
4619,1.0,16.0,10.0,22.0,1.0,0.3138532733244982,0.21885676682808264,0.10607076367257416,0.11082864840928945,1.0,1.0,1.0,1.0
4620,2.0,16.0,25.0,12.0,2.0,0.1994062326695144,0.2725993323080799,-0.12282813593570749,0.1228734698146307,1.0,1.0,1.0,1.0
4621,2.0,16.0,7.0,19.0,2.0,0.2751668005339056,0.13931883088068764,-0.12418527622828782,0.04015003172386648,1.0,1.0,1.0,1.0
4622,2.0,16.0,6.0,24.0,2.0,0.46652946090825076,0.10628321774962919,0.5625703944445674,0.001102726169206457,1.0,1.0,1.0,1.0
4623,0.0,16.0,16.0,11.0,0.0,0.334248870177826,0.10515997551670311,-0.06369825875621392,-0.20168077779315888,1.0,1.0,1.0,1.0
4624,2.0,16.0,5.0,14.0,2.0,0.6795768412038379,0.3724958561763902,0.4064038276159172,0.3033262103414851,1.0,1.0,1.0,1.0
4625,2.0,16.0,15.0,2.0,2.0,0.38879349525597223,-0.198385277338347,0.1956649609784851,-0.17412432218135324,1.0,1.0,1.0,1.0
4626,0.0,16.0,2.0,5.0,0.0,-0.1955118584808088,0.6938218015735205,-0.1995227212773813,0.4085240989749232,1.0,1.0,1.0,1.0
4627,0.0,16.0,4.0,16.0,0.0,-0.30446297997339117,0.2948543806150358,-0.24659401116274635,-0.06060224565088905,1.0,1.0,1.0,1.0
4628,1.0,16.0,11.0,17.0,1.0,0.10233887601479107,-0.01996647875508149,-0.15735333049320768,-0.24385078671131927,1.0,1.0,1.0,1.0
4629,1.0,16.0,12.0,6.0,1.0,0.24790900566164065,0.49445469453093016,0.1156611178202096,0.5725260989766893,1.0,1.0,1.0,1.0
4630,2.0,16.0,22.0,21.0,2.0,0.21601391470661985,-0.002384173566530312,0.12427994365521439,-0.18070061067590187,1.0,1.0,1.0,1.0
