HomeTeam,AwayTeam,FTHG,FTAG,Proba_Home_win,Proba_Draw,Proba_Away_win,round
Feyenoord,Utrecht,1.0,1.0,0.29499677836350785,0.27045832473314085,0.18413813506426238,754.0
Heracles,PSV Eindhoven,0.0,2.0,0.15146180862946282,0.23839288308551795,0.3817239378196383,754.0
Willem II,FC Emmen,2.0,1.0,0.23094477175570483,0.2588032162048281,0.28901747974359715,755.0
Heracles,Vitesse,1.0,1.0,0.2494286173690763,0.2580457592661919,0.27523644853581397,755.0
Heerenveen,Twente,0.0,0.0,0.15657722064908777,0.2950660798010168,0.26469261328928817,755.0
Waalwijk,Den Haag,0.0,3.0,0.24746335609033446,0.2777932253080142,0.22313519907923654,755.0
Utrecht,VVV Venlo,1.0,2.0,0.20766512717227698,0.29714856646331606,0.2182297543163745,755.0
Zwolle,Sparta,2.0,2.0,0.16837001690646144,0.26779444235869604,0.3104784040049849,755.0
FC Emmen,Zwolle,1.0,3.0,0.2733242474627093,0.26678423565371934,0.22481287486622176,756.0
Heerenveen,For Sittard,1.0,1.0,0.23940759928971955,0.3118575060509125,0.15112815745985872,756.0
Groningen,Heracles,1.0,2.0,0.21382870883297087,0.2786707293129814,0.25370327882442645,756.0
Den Haag,VVV Venlo,1.0,0.0,0.16381446698651975,0.27684677323839396,0.29460947542582805,756.0
Twente,Utrecht,3.0,1.0,0.2889539132237301,0.2844332830838531,0.14934083227408884,756.0
Sparta,Ajax,1.0,4.0,0.11803681455068053,0.24961508562432008,0.36776633437284084,756.0
Vitesse,AZ Alkmaar,2.0,1.0,0.1427593568555299,0.25580068125917615,0.3476267202688351,756.0
Willem II,Feyenoord,0.0,1.0,0.1455212278069083,0.21786273171517895,0.43021061527071713,756.0
Waalwijk,PSV Eindhoven,1.0,3.0,0.09870986458599171,0.22592755071652,0.41528786883534985,756.0
Ajax,Heerenveen,4.0,1.0,0.2884785038683449,0.2802968306776961,0.1626867303938395,757.0
AZ Alkmaar,Sparta,5.0,1.0,0.3418042153396041,0.2609523738559836,0.13180907603884856,757.0
VVV Venlo,Groningen,2.0,1.0,0.20521281487441118,0.31168657691972135,0.19103008474862856,757.0
PSV Eindhoven,Vitesse,5.0,0.0,0.3274535747481152,0.26282214372611096,0.15597598053665337,757.0
Utrecht,FC Emmen,3.0,1.0,0.2390541091702324,0.28178097281749487,0.22189786821054228,757.0
Zwolle,Waalwijk,6.0,2.0,0.22021883061899233,0.2703403283243082,0.2682730881716659,757.0
Feyenoord,Den Haag,3.0,2.0,0.3851706937245623,0.23772439977345025,0.14438118291313326,757.0
Heracles,Willem II,4.0,1.0,0.3396215338590763,0.23876108109589736,0.23638627518507896,757.0
For Sittard,Twente,2.0,3.0,0.11917865635542438,0.2940133909180461,0.29025066188816245,757.0
Twente,Heracles,2.0,3.0,0.31425386461782523,0.2635929316568794,0.1775098569681996,758.0
Sparta,Waalwijk,4.0,0.0,0.24201850804099206,0.28990846007941845,0.19845900181804382,758.0
Groningen,Zwolle,2.0,0.0,0.2676009785200014,0.29057093233804276,0.1642374987710288,758.0
Willem II,VVV Venlo,1.0,0.0,0.16402975888891028,0.25752014946337615,0.33473088790723177,758.0
Vitesse,For Sittard,4.0,2.0,0.22383634124476157,0.2978747419063203,0.20015468267160508,758.0
Heerenveen,Utrecht,1.0,1.0,0.2078554168804299,0.30629338266756084,0.19908225984228553,758.0
FC Emmen,Feyenoord,3.0,3.0,0.14922220274561998,0.2391882078045385,0.380610649004725,758.0
Den Haag,AZ Alkmaar,0.0,1.0,0.09997056261508878,0.23335284531519043,0.40124979908264563,758.0
PSV Eindhoven,Ajax,1.0,1.0,0.2179189185621022,0.28652305610749623,0.2317705059632831,758.0
PSV Eindhoven,Groningen,3.0,1.0,0.29532349674738273,0.2872790830133507,0.12991464719350324,759.0
Ajax,For Sittard,5.0,0.0,0.35158474560630537,0.26104878824951966,0.10324099087851685,759.0
